Year,chla,chla_lag1,chla_prevSummer,colour,colour_lag1,colour_prevSummer,Cyano,Cyano_lag1,Rain_lag1,Rainy_days_winter,TP,TP_lag1,TP_prevSummer,WindDays_under_Q0.4,WindDays_over_Q0.6
2001,20.5,21.566666666666666,22.166666666666664,63.53846153846154,73.30769230769229,42.2852564102564,0.4946666666666666,0.2983333333333333,185.76768162199997,147.0,31.66666666666667,45.0,32.666666666666664,38.0,31.0
2002,28.0,23.0,21.033333333333328,49.46153846153846,59.69230769230769,68.42307692307692,0.5526666666666666,0.5720000000000001,320.827473462,159.0,31.33333333333333,42.0,38.333333333333336,57.0,22.0
2003,15.125,19.08333333333333,25.5,37.75,48.0,54.57692307692307,0.8919999999999999,0.648,272.532858832,124.0,35.25,31.33333333333333,36.66666666666666,35.0,34.0
2004,14.866666666666667,36.333333333333336,17.104166666666664,38.66666666666666,38.66666666666666,42.875,0.428,2.5046666666666666,191.0656472809999,150.0,33.333333333333336,40.333333333333336,33.291666666666664,43.0,28.0
2005,22.6,18.16923076923077,25.6,39.66666666666666,53.33333333333334,38.66666666666666,1.621729413333333,1.117294893333333,234.121203886,145.0,35.125,29.615384615384613,36.833333333333336,28.0,33.0
2006,38.8,22.264285714285712,20.384615384615387,33.5,55.75,46.5,3.3992816639999996,0.9441994285714286,196.16808407099998,164.0,39.9,30.642857142857146,32.37019230769231,55.0,17.0
2007,18.166666666666668,17.73846153846154,30.532142857142855,59.0,70.33333333333333,44.625,1.1846367,1.6125406624999998,357.39982618700003,157.0,31.58333333333333,32.69230769230769,35.27142857142857,34.0,38.0
2008,15.227272727272727,16.446153846153848,17.952564102564107,85.0,58.33333333333334,64.66666666666666,0.26422031666666673,0.19648414714285714,223.246592925,164.0,29.54545454545455,35.46153846153846,32.13782051282051,45.0,26.0
2009,16.258333333333333,16.436363636363634,15.836713286713287,54.25,63.66666666666666,71.66666666666667,0.5058229768666667,0.4929486618333334,236.727380031,137.0,28.66666666666667,29.272727272727273,32.503496503496514,42.0,29.0
2010,9.09,13.7,16.347348484848485,59.33333333333334,63.5,58.95833333333333,0.0870066,0.06991657142857143,243.78339129200003,159.0,23.6,28.461538461538463,28.96969696969697,42.0,34.0
2011,8.875,15.246153846153845,11.395,76.64285714285714,68.84615384615384,61.41666666666667,0.026155833333333336,0.032806071428571434,308.51362378399995,135.0,26.41666666666667,26.69230769230769,26.03076923076923,36.0,35.0
2012,11.43,15.623076923076924,12.060576923076924,65.38461538461539,62.92307692307693,72.74450549450547,0.12353839999999998,0.015106,290.1019707169999,142.0,24.6,27.76923076923077,26.554487179487186,28.0,39.0
2013,13.016666666666667,15.1,13.52653846153846,48.23333333333333,70.5,64.15384615384616,0.29897185600000004,0.13924837271428572,271.04800603000007,132.0,23.0,22.985714285714288,26.184615384615388,42.0,27.0
2014,11.766666666666666,13.433333333333332,14.058333333333335,34.82,47.73333333333334,59.36666666666666,0.10761978133333333,0.1156565815,159.853964134,145.0,18.866666666666667,21.73333333333333,22.992857142857147,41.0,31.0
2015,15.25,14.6,12.599999999999998,57.33333333333334,48.33333333333334,41.27666666666667,0.116454337,0.05883450783333333,313.3035336100001,146.0,26.33333333333333,22.16666666666667,20.3,36.0,36.0
2016,11.22,8.233333333333333,14.925,50.0,52.5,52.83333333333334,0.13950312473333332,0.031230039166666668,180.7352356919999,158.0,16.583333333333332,20.916666666666668,24.25,25.0,43.0
2017,12.14,13.385714285714286,9.726666666666668,,,51.25,0.16451290400000002,0.08411289200000001,195.8545983860001,134.0,,,18.75,31.0,39.0
